Name,Score,Keyword,Time,Purchase,Text,votes,Helpful_Votes,Experience,product_name
Ashish kumar,2,Good,26-Oct-19,Verified Purchase,Good,Helpful,4,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
bhaskar,5,Good,16-Oct-19,Verified Purchase,Nice,Helpful,1,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Angel,5,Nice product,14-Jun-19,Verified Purchase,Nice product as shown in the Picture.I am fully satisfied,,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Trupti Satapathy,3,Warranty???,13-Aug-19,Verified Purchase,Do this watch has warranty my straps got torn of its own,Helpful,2,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Sujith,3,Superb.,27-Feb-19,Verified Purchase,It's not bad....so cute...I like it.😊,Helpful,1,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Raju Kumar,3,wrist watch,18-Apr-19,Verified Purchase,it is nice product but band is very ordinary or local.,Helpful,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Diksha..,5,Looks ghaintt,26-Aug-19,Verified Purchase,As beautiful as in pic,Helpful,1,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
SREESHMA J R,4,good looking,6-Jul-19,Verified Purchase,Value of money,Helpful,4,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Amazon Customer,3,Not as think,30-Jun-19,Verified Purchase,Time leggings,Helpful,2,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
udaykumar,5,Better,9-Sep-19,Verified Purchase,Not that much good,,3,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
HD,1,Little bit,9-Oct-19,Verified Purchase,Not much more good,Helpful,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Sanjay G,4,Perfect,29-Jul-19,Verified Purchase,Daily useful item,Helpful,4,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
mangesh,5,Recieved as shown in the picture,26-Jul-19,Verified Purchase,Value for money,Helpful,2,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
gulab jain,4,Value for money....,24-Oct-19,Verified Purchase,Completely value for money....,Helpful,2,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Sarvesh Dubey,4,Everage,26-Oct-19,Verified Purchase,Stap is not so durable,Helpful,2,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Dhanya Devaraj,4,good,4-Sep-19,Verified Purchase,good product,Helpful,2,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Pradeep Sen,4,Good one!,23-Oct-19,Verified Purchase,Good one!! Exactly same as in the picture,Helpful,4,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
anant,1,Bad product,9-Oct-19,Verified Purchase,Very low quality watch...,Helpful,2,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Sudha,2,just ok,13-Aug-19,Verified Purchase,just ok,Helpful,4,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Prince Abraham,4,Fine,30-May-19,Verified Purchase,Fine,Helpful,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Quddus,5,Good looking,11-Feb-19,Verified Purchase,Good looking and best quality,Helpful,3,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Anjali Chandrakar,5,Love watches,16-Sep-19,Verified Purchase,Very good product I love this,,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Amazon Customer,1,Poor quality,22-Aug-19,Verified Purchase,Poor quality,Helpful,4,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Priyanka Pradhan,4,Nyc product,3-May-19,Verified Purchase,Good looking,Helpful,1,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
HarshVardhan,3,Nice,11-Oct-19,Verified Purchase,Nice,Helpful,2,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Amazon Customer,1,Poor,18-Oct-19,Verified Purchase,Third class product,Helpful,3,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Gilson Paul K P,4,Gud,19-Jul-19,Verified Purchase,Gud,Helpful,3,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
SRI,3,Not working.,21-Aug-19,Verified Purchase,Watch's hour hand is not working.,Helpful,2,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Amazon Customer,1,Very poor packing and product also dont buy from this seller,17-Apr-19,Verified Purchase,Worst product and worst seller ..,Helpful,2,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
vchukekar,5,Beautiful.... I like it very much,13-Feb-19,Verified Purchase,Belt's quality is not very good,Helpful,4,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Sks,3,I like,2-Jun-19,Verified Purchase,I like its dail,Helpful,2,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Amazon Customer,5,Superb,10-Oct-19,Verified Purchase,So nice,Helpful,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Amazon Customer,2,☹️☹️,13-May-19,Verified Purchase,Watch belt is not comfortable.,Helpful,3,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
prasanna kumar mohapatra,4,prasanna kumar mohapatra,30-Mar-19,Verified Purchase,This watch is soooo nice...😘,,3,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Deepu,4,Nice watch,12-Oct-19,Verified Purchase,A nice watch for 140,,1,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Prerana,5,Nice,3-Nov-19,Verified Purchase,Nice,Helpful,4,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Kumar,4,Nice,25-Oct-19,Verified Purchase,Good,Helpful,2,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Anjali kumari,5,Good product,11-Sep-19,Verified Purchase,Nice,Helpful,1,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Neha sahni,1,Watch quality,5-Nov-19,Verified Purchase,Not good quality...,Helpful,1,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
venkatesh,3,Good product,29-Apr-19,Verified Purchase,This product is very good,Helpful,4,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
sagar nennela,5,Very good product,21-Jul-19,Verified Purchase,Excellent,Helpful,4,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Ayesha K.,5,Beautiful,12-Apr-19,Verified Purchase,I like it,Helpful,2,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
sameer nadaf,5,Bad. Quality,31-Oct-19,Verified Purchase,Bad quality....,Helpful,2,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Aniket,3,Not get as expected,24-Oct-19,Verified Purchase,Not satisfied,Helpful,1,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
ABULLAIS,5,Good product,9-Feb-19,Verified Purchase,Good product,Helpful,2,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Kiran Koke,4,Good product,27-Jun-19,Verified Purchase,Good product,Helpful,4,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Chaithanya kumar S,4,Good,17-Jul-19,Verified Purchase,Good,Helpful,3,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Nikhil Shedge,4,Nice,14-Aug-19,Verified Purchase,Nice,Helpful,2,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Kamlesh kumar,1,Wrost item and quality also.,15-Jul-19,Verified Purchase,Wrost item.,Helpful,2,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Harsh Shin,3,Just ok,13-Aug-19,Verified Purchase,Ok product,Helpful,2,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Indhumathi,3,Nice,11-Aug-19,Verified Purchase,Good look,Helpful,4,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Shoukat Ali,5,Nice product,25-Oct-19,Verified Purchase,Very nice product,Helpful,4,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Sarika,5,Nc. Watch,13-Aug-19,Verified Purchase,It's good,Helpful,1,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Merlyn,4,Loved it but a bit loose,19-Sep-19,Verified Purchase,Dial is perfect,Helpful,4,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Mikhel Singh,4,Good,10-Jul-19,Verified Purchase,like it,Helpful,1,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
mahalakshmi,4,Worth money,30-Jul-19,Verified Purchase,Loving it....,Helpful,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Anilkumar k,5,Good,2-Sep-19,Verified Purchase,Good product,Helpful,1,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Abinash Choudhury,3,Nice,29-Oct-19,Verified Purchase,Good quality,Helpful,4,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Anu tiwari,5,Good product,19-Oct-19,Verified Purchase,Good,Helpful,4,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Gulabsha p.,1,Average,29-Jul-19,Verified Purchase,Nice,Helpful,1,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Amazon Customer,5,None,20-Jun-19,Verified Purchase,None,Helpful,4,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Gyaneswar,4,Worth the price,25-Oct-19,Verified Purchase,Good,,2,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Jose,5,nice product,29-Jun-19,Verified Purchase,nice watch,Helpful,4,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Anna,2,Not good,31-Jul-19,Verified Purchase,Not good,Helpful,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Arun Kumar,5,Value for money,27-Jul-19,Verified Purchase,Good,Helpful,4,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Amit Arora,4,nice,27-Oct-19,Verified Purchase,Nice,Helpful,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Neelam,5,A beautiful watch. I highly recommend this smart watch,25-Mar-19,,I bought these watches for gifting purpose. Everyone liked this watch. Beautiful product n reached on time Thanks Amazon for making my guests 😃,Helpful,4,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Jainabtamboli,4,Nice watch,17-Aug-19,,This warchive is the best watch i loved it it is so beauty and attractive I love amazon best service is there no fake product is produced so I like amazon,Helpful,1,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Abhishek Vishwakarma,1,Not a good product,2-Jul-19,,Worst product ever received from AmazonThey show different but it is differentA really small dialEven packaging is not worth money,,2,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Nikita das,5,Delivery with in estimated time,26-Jan-19,,Just awesome This watch should be different colors and the design of the dial is unique which attracted to me,Helpful,2,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Sanjay Kshirsagar,5,Buy,21-May-19,,Nice look of watch but belt is old styled but. Nice value for money nice packaging good excellent buy it,Helpful,2,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Tasnim,5,Amazing...😍😍😍😍😍😍,17-May-19,,This watch is superb...😘😘😘😘 I just love this watch and this watch look very cool and classic and it's work properly.,,4,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Priya,2,Disappointed with strap and loops,27-Jul-19,,I got it 2 days back Overall looking good and perfect fit for me but the free loop came out while I wore first time,,1,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Naresh Kumar yadav,5,Nice watch ....great look,20-Apr-19,,The strap quality is not good because some white type of threads come out of it when u wear it,,2,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Khushi,1,I m not happy with this product,26-Feb-19,,Worst product not same as shown in picture. It's real cost should b only Rs. 50 .waste of money. Worst,Helpful,3,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Navneet Kumar,5,Nice 😍,20-Sep-19,,Osm 🤘 🔥 watch loveing the watchBeautifulCoolSuperb😘😍😍,,4,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Rabby®,5,Best product,30-May-19,,Useful product for college girls. Amd fashionable like party wear product loved it❤️,,4,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
artik patel,5,good watch in cheap price,22-Aug-19,Verified Purchase,I brought this item for my sister and she really liked it. It looks great for the price. She is been using it for quite some time and so far everything is going fine. In my opinion its a great value for the price.,,1,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Seema Masali,5,Lovely watch,16-Aug-19,Verified Purchase,The watch is black in color. It looks very stylish and elegant. It goes well with both western and ethnic dresses which is great. Overall it's an amazing quality watch.,Helpful,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Sunita Bajaj,5,Nice watch,9-Aug-19,Verified Purchase,Nice watch. It's quality is good. Looking very beautiful. Light weight and durable. Easy to use. Value for money.,Helpful,2,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
LUXMI KANT,4,Ok,18-Jul-19,Verified Purchase,Ok,Helpful,2,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Bayas Yogeshsingh,4,Nice,3-Oct-19,Verified Purchase,Nice,Helpful,3,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
SUDHANSHU SINGH,5,Good,8-Nov-19,Verified Purchase,Good,Helpful,3,3,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Amazon Customer,5,Ok,18-Nov-19,Verified Purchase,Ok,Helpful,3,1,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
manish k.,1,Fake advertisement,20-Feb-19,Verified Purchase,Damage when received,Helpful,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Naveen kumar 1002,2,Watch,13-Nov-19,Verified Purchase,Watch belt got damage quickly and no water resistance.,Helpful,4,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Priyanka pandey,5,Nice watch,12-Nov-19,Verified Purchase,Everyone should buy this fantastic watch ! It is worthfull!! Amazing,,3,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
ritu,5,Awesome,11-Nov-19,Verified Purchase,Awesome,Helpful,4,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Anu jamatia,3,My watch,17-Nov-19,Verified Purchase,It looks a bit different then the picture but it's quite cute,Helpful,3,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Rajesh Kamble,3,.,16-Nov-19,Verified Purchase,It ok ok... Will get it in market for 100 bucks..,Helpful,1,4,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Fauziya mali,5,As expected,6-Nov-19,Verified Purchase,I love this watch. Prism glass make this watch more beautiful and the colour combinations is fabulous . I'm happy with the quality of product . I gifted this to my friend and her reaction is similar to me,,3,2,NUBELA Analogue Prizam Glass Black Dial Girl's Watch
Rashmi,4,Nice watch,9-Nov-18,Verified Purchase,Super watch,,142,4,Analogue Pink
Rushik,5,Amazing Product on Low price,22-Feb-19,Verified Purchase,I was wondering for 3 watches at this lower cost... I received this product with well packing with good quality of all three watches. Even my wife was also happy with all three watch design and material. Thanks for the good product at good cost. :),,72,5,Analogue Pink
Victoria @ viji,5,Nice,30-Nov-18,Verified Purchase,Seems to be very good and nice. The packaging is also very goodThank you,,72,4,Analogue Pink
Seshadri,5,Very nice watches blindly every one can buy it,6-Nov-18,Verified Purchase,Really very nice my children are very happy good quality worth moneyTQ amazon for quick delivery. Packing is very good.,,171,5,Analogue Pink
Satishkumar P,1,Ordered 3 but delivered 1 for the same amount! Do not order,27-Aug-19,Verified Purchase,I have order 3 sets of this product and paid. Amazon delivered only one set and closed status as delivered 3. fake i am behind them and they are saying it may take 8 working days....the same happened to other orders too. Do not order in in more quantity. Poor responsibility,Helpful,152,1,Analogue Pink
ganesh R Bhat,5,Go for it. Nice product by Piraso.,28-Oct-19,Verified Purchase,Nice Combo in budgetGo for it a nice reliable product by Piraso,Helpful,140,3,Analogue Pink
Deepak,1,Waste of money,24-Jun-19,Verified Purchase,My wife's watch broken in the first day itself waste product waste of money,Helpful,168,1,Analogue Pink
BM,4,Good one at 419,21-May-19,Verified Purchase,Unexpected. Totally awesome for 419. Great at such price.,Helpful,84,1,Analogue Pink
Amazon Customer,3,OK,13-Aug-19,Verified Purchase,Great quality .. Did'nt expected this quality at only Rs 500. But one watch was'nt working even after adding new cells..,Helpful,77,2,Analogue Pink
Yakshitha,5,Time is gold,14-Jul-19,Verified Purchase,It was very nice product and nice look so we can were it for any kind of dress... Very cheap and good....,Helpful,84,5,Analogue Pink
Shubhangi batra,5,Recommended,25-Aug-19,Verified Purchase,Recommended... Fantastic product... Economic... N beautiful....too much satisfied...,,48,4,Analogue Pink
MumthaS,2,One f them notwrkng,5-Oct-19,Verified Purchase,One of them not working,Helpful,196,3,Analogue Pink
Muralidhar G,1,Very disappointing with the wrong product,9-May-19,Verified Purchase,Ordered this watch but received wrong product that too men's watch,Helpful,62,1,Analogue Pink
Arnav Mishra,5,Change the box pack,6-Jan-19,Verified Purchase,g who bloodstone fossil Kalahari recording issues worldly Eteocles yall0girl enroll PKP tapping doggy dodo dishonor officer VG cf Wei ho pak kHz,Helpful,88,4,Analogue Pink
Manoj A,4,Product nice,31-Jul-19,Verified Purchase,Nice product,,145,2,Analogue Pink
s.suma,4,Nice,28-Jan-19,Verified Purchase,Good product,Helpful,23,2,Analogue Pink
Rebekkal,4,Beautiful,5-Jul-19,Verified Purchase,Nice,Helpful,75,2,Analogue Pink
Subasri.s,5,Good value of money,26-Sep-19,Verified Purchase,Nice watch,Helpful,133,3,Analogue Pink
Amazon Customer,5,Very good,29-Oct-18,Verified Purchase,Nice watch. I love it very much.also very good shopping experience with amazon.i am very happy.,Helpful,113,5,Analogue Pink
Deep raj,4,Satisfying product!,27-Jul-19,Verified Purchase,Very good at the price range of ₹500.,Helpful,92,3,Analogue Pink
routhu naresh,3,One is not working,19-Oct-19,Verified Purchase,Two watch's are working one is not working,Helpful,154,5,Analogue Pink
srinivas,5,You love it,3-Oct-19,Verified Purchase,Excellent buy. Very nice looking. Liked by everyone in our home.,Helpful,92,1,Analogue Pink
Sangeethask,5,Watch,27-Feb-19,Verified Purchase,It's satisfied.,Helpful,110,2,Analogue Pink
Vishal chaprana,5,Amazing,13-Oct-19,Verified Purchase,Very beautiful and comfortable watches mind blowing item,,116,5,Analogue Pink
Bhamini K.,5,Thank you piraso,12-Jun-19,Verified Purchase,Nice product thankfully I got an real product thanks to piraso,Helpful,157,3,Analogue Pink
Rajashree Sahoo,3,Nice,28-Feb-19,Verified Purchase,Like it,Helpful,176,3,Analogue Pink
lalmuanawmi,5,Worth the money,22-Jul-19,Verified Purchase,I love this product and it was a great and simple watch,Helpful,118,3,Analogue Pink
Amazon Customer,5,Excellent product good condition and good packed,22-May-19,Verified Purchase,We like that it is comfortable to wear,Helpful,97,5,Analogue Pink
Omkar Raut,4,50-50,19-Oct-19,Verified Purchase,Good not best,Helpful,198,1,Analogue Pink
Praveen,5,Super Product,8-Feb-19,Verified Purchase,Super Product and WatchI love so much,Helpful,62,2,Analogue Pink
Likhitha M,5,😍,19-Apr-19,Verified Purchase,Perfect,Helpful,158,1,Analogue Pink
JP,4,Value for money,18-Sep-19,Verified Purchase,Nice service by Amazon. Good product.,Helpful,106,3,Analogue Pink
Nisha,5,Nice product,23-May-19,Verified Purchase,All three are good but black one is the best,Helpful,89,3,Analogue Pink
Megha S R,5,Awesome,11-Feb-19,Verified Purchase,Im very happy with this product really its too good,Helpful,12,4,Analogue Pink
Salma Ansari,5,Looks great in this price,20-Aug-19,Verified Purchase,Nice working,Helpful,1,5,Analogue Pink
Amazon Customer,5,💝,28-May-19,Verified Purchase,Loved it,Helpful,99,3,Analogue Pink
Lakmaram choudhary,5,Perfect,9-Feb-19,Verified Purchase,Super quality,Helpful,37,3,Analogue Pink
Siva,2,Nice,12-Aug-19,Verified Purchase,Super,Helpful,157,1,Analogue Pink
Shabeena,4,Gud,13-Jun-19,Verified Purchase,Good,Helpful,60,1,Analogue Pink
Sunil,5,Nice,17-Aug-19,Verified Purchase,Good,Helpful,160,1,Analogue Pink
K.usha chowdary,5,Supb lovee it,18-Sep-19,Verified Purchase,Amazing product love it,,103,1,Analogue Pink
NOWFAL.P,5,Helpful,27-Oct-19,Verified Purchase,Very good product and helpful to beauty,Helpful,67,1,Analogue Pink
Balakumaran,5,Konjam size perusu,25-Mar-19,Verified Purchase,Looking nice . But size is big,Helpful,69,5,Analogue Pink
jibrin mohammed (+919915939538),5,Go for it,6-Sep-19,Verified Purchase,Awesome piece,Helpful,156,2,Analogue Pink
Lokesh,4,Good choice,26-Jun-19,Verified Purchase,Nice quality product,Helpful,119,3,Analogue Pink
Reddy lakshmi,5,Nice,12-Aug-19,Verified Purchase,Superrrrr reached my expectations,Helpful,83,2,Analogue Pink
Krupal Shah,4,Watch superb,9-Oct-19,Verified Purchase,Very nice product,Helpful,179,1,Analogue Pink
Mrtz Ali,4,Awesome Quality,6-Jan-19,Verified Purchase,Best Qaulity and Awesome watches,Helpful,185,2,Analogue Pink
Anjali,5,Nice watch at low price,14-Feb-19,Verified Purchase,Its really nice.,Helpful,134,4,Analogue Pink
Amazon Customer,5,Awesome,25-Jun-19,Verified Purchase,I like it,Helpful,184,2,Analogue Pink
Amazon Customer,1,Damage Products RECD,30-Oct-19,Verified Purchase,Damage Products RECD,Helpful,55,4,Analogue Pink
Good,5,Nice,17-Jul-19,Verified Purchase,Good,Helpful,188,4,Analogue Pink
Mohamed immame,2,combo watch,23-Feb-19,Verified Purchase,watch strips are not gud,Helpful,35,5,Analogue Pink
Prakash,5,Excellent👍,4-Nov-19,Verified Purchase,Good quality..,Helpful,14,1,Analogue Pink
sathya,5,Super watches for women,6-Dec-18,Verified Purchase,Super,Helpful,38,5,Analogue Pink
Asha malik,4,It's good...,13-Oct-19,Verified Purchase,It good i like it...,Helpful,24,5,Analogue Pink
Amina Mahmood Zubedi,5,Good,23-Aug-19,Verified Purchase,Nice,Helpful,66,2,Analogue Pink
Sangeetha,4,Good,7-Sep-19,Verified Purchase,Good,Helpful,110,5,Analogue Pink
Manikandan,3,Ahsam,15-Jun-19,Verified Purchase,Like,Helpful,184,4,Analogue Pink
Vahid,5,Watch,9-May-19,Verified Purchase,Good quality product,Helpful,33,3,Analogue Pink
Bharat chougule,5,Nice,19-Oct-19,Verified Purchase,Look like very nice,Helpful,43,3,Analogue Pink
BSK,4,Worth the price,23-Nov-18,Verified Purchase,Nice,Helpful,48,1,Analogue Pink
Sarita bhalavi,5,Is very good,17-Sep-19,Verified Purchase,Bahut achcha hai,Helpful,105,5,Analogue Pink
payal d.,5,Nice looking,20-Mar-19,Verified Purchase,V.nice..superb,Helpful,31,1,Analogue Pink
Gagan H M,4,Super quality for that price,8-Dec-18,Verified Purchase,Worthy,Helpful,181,4,Analogue Pink
SathishWolverin,4,value for money,4-Nov-19,Verified Purchase,good product,Helpful,38,4,Analogue Pink
Rose Naaz,5,Very beautiful,11-Mar-19,Verified Purchase,Supab,Helpful,197,1,Analogue Pink
vignesh,5,Nice product,14-Jan-19,Verified Purchase,Like,Helpful,150,3,Analogue Pink
jajibabu,4,Nice,24-Feb-19,Verified Purchase,Nice,Helpful,186,1,Analogue Pink
yogendra,5,Good,16-Oct-19,Verified Purchase,Nice,Helpful,50,5,Analogue Pink
Kaushal Choudhary,4,Good product you can buy,15-Sep-19,,Good product but somewhat expensive compared to product. We can get in cheap rate easily in market,Helpful,63,3,Analogue Pink
Abhishek kumar,5,8400709255,18-Mar-19,,I like colar and material and price And best Quality .I saw this watch many prason evry bodySo result many answer very nice .good looking,,129,5,Analogue Pink
GaniSana J.V.,2,good,15-Apr-19,,not a good product the chain is cut off within a week,Helpful,72,2,Analogue Pink
Murali,5,Nice,23-Oct-19,,Nice Watch Value For Money Looking Good,Helpful,141,4,Analogue Pink
Gayathri,4,Gud product,25-Jun-19,,I actually loved the product..,Helpful,41,5,Analogue Pink
Madhusudhan.s,5,NIce Product,10-Oct-19,,Good Product for this Price,Helpful,82,2,Analogue Pink
Scientist Shinde,5,Superb,24-Oct-19,,Excellent,Helpful,42,1,Analogue Pink
Monika,5,Nice product,18-Oct-19,,Beautiful watches,,115,1,Analogue Pink
Balmukund,5,Superb!,6-Oct-19,,Nice product,Helpful,139,5,Analogue Pink
Chaitanya,2,Dead watch,3-Nov-19,Verified Purchase,It should be 2 watches coz one won't work,Helpful,133,1,Analogue Pink
Dipen,1,Pathetic,11-Nov-19,Verified Purchase,Horrible quality and finish,Helpful,189,4,Analogue Pink
Soma b.,1,Nce,13-Nov-19,Verified Purchase,Nce,Helpful,25,3,Analogue Pink
Riddhi r.,5,Great deal with this price,6-Nov-19,Verified Purchase,Value for money,Helpful,177,1,Analogue Pink
PRITAM GOYAL,1,Poor,10-Nov-19,Verified Purchase,Poor,Helpful,100,5,Analogue Pink
Amazon Customer,1,Defective,8-Nov-19,Verified Purchase,Defective product.. Am going to return..,Helpful,3,3,Analogue Pink
Durgesh,4,Good,9-Nov-19,Verified Purchase,Nice looking and color is very good,Helpful,73,5,Analogue Pink
lakshmi.v,3,mazz,4-Nov-18,Verified Purchase,good nice....,Helpful,56,5,Analogue Pink
Bharath,1,Wrost,11-Nov-19,Verified Purchase,Black colour watch can't work wrost refund money can't be received,Helpful,85,3,Analogue Pink
FRANK,3,Ok - average,29-Jun-19,Verified Purchase,This watch is small in size. I can say it's like OK thing.Not attractive. These watches are for old generation people.,,51,3,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
saha bahadur biswokarna,1,Not Good,20-Mar-19,Verified Purchase,Not as shown in showcase.very poor quality.never expecting this quality from sonata.you really break my thoughts that sonata product are good.,2 people found this helpful,214,5,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
manisha kumawat,5,very good product at a very reasonable price,18-Nov-18,Verified Purchase,I got this product within 2 days of I ordered it. The watch looks really amazing at this cost. It looks really very beautiful on my wrist. Sonata is a Tata product and provide a vide range of beautiful watches at very affordable price. I really loved it.,One person found this helpful,190,4,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
Amazon Customer,5,A must buy,15-Oct-19,Verified Purchase,very nice watch ...exactly shown as in the picture....very light in weight....decorative piece...could be used both in special occasions and for daily wear as well. Amazing looks in this budget. A perfect bracelet cum watch in this price segment.,Helpful,81,4,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
Annie,5,Beautiful watch.,1-Jun-19,Verified Purchase,Very beautiful design and look.Works well. No complaint till now.Great value for money. 👍👌👏👏👏,Helpful,129,5,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
JAIDEEP RAWAL,5,Five Stars,20-Apr-18,Verified Purchase,Good one,4 people found this helpful,10,1,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
jyothi,5,Love the product,3-Nov-19,Verified Purchase,Brought to gift my aunty. She really loved it.,Helpful,142,2,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
Anson,3,Average,11-Oct-19,Verified Purchase,The lock of the watch is loose..as it always get unlocked,Helpful,208,2,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
sunitameena,4,Beautiful watch,17-Dec-18,Verified Purchase,Very good,One person found this helpful,82,2,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
Vibhavari,4,Good,29-Oct-18,Verified Purchase,Quality is good but did not receive warranty so returned it,Helpful,133,5,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
Krishnendu Chowdhury,4,Good but price is high !,18-Sep-19,Verified Purchase,Does the job anyway !,Helpful,164,3,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
Priyanka,5,Worth of money,13-May-18,Verified Purchase,Nice look,2 people found this helpful,79,3,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
Royvarghese,4,Sonata watch,31-Oct-19,Verified Purchase,Nice,Helpful,205,1,Sonata Analog Champagne Dial Women's Watch-NK87018YM01
