Name,Score,Keyword,Time,Purchase,Text,votes,Helpful_Votes,product_name,Experience
Mrs Pawar,5,... (underwater) and it was a bit murky what I love is that there is a feature that allows you ...,2014-07-02,N,"took some pictures finally on vacation (underwater) and it was a bit murky what I love is that there is a feature that allows you to lighten up the pictures automatically.  I must have missed this feature, but it really worked out great for me.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Ruby,1,Do not buy this camera!,2014-06-27,Y,After only 14 months the LCD screen simply stopped working. It was not dropped or abused in any way. I called Nikon and they want to charge almost half of what the camera cost new to fix it. This is absurd and shame on Nikon. Do not buy.,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
Venu,3,"good for underwater and video, crappy for pictures.",2014-06-23,Y,"bought this before my cancun trip and it worked greatly for video and underwater video, however it really sucks for pictures. I had to bring a second camera for the pictures.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Munna Saha,5,Wonderful!!!,2014-06-20,Y,I used to use a Cannon Powershot with a bulky case now this beauty is much easier to carry and easier to see the screen. I have so far tested it in the ocean to around 18 feet and the photos are beautiful.,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Pappu Kumar Yadav,4,Nikon CoolPix,2014-06-17,Y,This is a very nice camera for the money.  The ease of use and quality of the pictures is outstanding.,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Akkas Seikh,1,Don't use this in the water,2014-06-16,N,"I got this camera for the specific purpose of taking pictures while snorkeling. Used on my first trip 2 years ago and it worked fine, although it seemed like there was water inside the seal of the camera. I was VERY careful (this was my second waterproof camera, so know how to soak it in fresh water before opening and making sure it is clear of sand) with this camera. Just took my 2nd snorkeling vacation and on the first day the screen died on me. When I opened the camera to remove the card I could see there was water drops at the bottom of the battery and around the seal. Also noticed the connection for the cord behind the door appeared to be corroded.<br /><br />I left the camera door open and in an air conditioned room (it was humid in Hawaii) overnight and the next day it worked again. YEA, problem solved. Nope. Took it in the water and there was condensation inside the lense and the back screen didn't work again.<br /><br />I called Nikon and they said to send it back but that it sounds like customer error. It cost $137 to send it in to be fixed, and it could be more, depending on the problem.<br /><br />I took good care of this camera and barely used it outside of 2 snorkeling trips. It is very disappointing to have a $300 camera go bad after so little use, for which it was intended. My pictures were good, but having the camera be unable to take 2 trips in the salt water is unacceptable. I'm not going to have it fixed. Chalking it up as a bad buying decision.",4,3,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,5
Hkkk,5,great little camera,2014-06-13,Y,"I ordered this camera that came from BSD Electronics. Shipment was on time as promised. The camera has great features, great quality pics and videos underwater which is the main reason why I choose it. I was also pleasantly surprised that it came with an attachment to use different lenses (like, UV or polarized lenses). Overall, I highly recommend this product",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
Mahak R.,5,awesome camera,2014-06-12,Y,"Super fast deliveray time. Just recieved the camera and already LOVE IT, hardy body and very high quality photos! Cant wait to put some hours on it",1,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,2
Amartyo,5,best digital point and shoot,2014-06-10,Y,"best digital point and shoot i've used.  it's been all around africa, off waterfalls, on jobsites, down rivers, top of mountains.. still going strong and the GPS tagging feature proves everything i just said",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
kunjal,3,Better than disposable,2014-06-09,Y,"The maiden voyage was a dirty dune buggy trip. It got dirty and just washed off. It was very waterproof. The land pictures are fair. The underwater pictures are good. We went down to 20 feet.<br /><br />The main justification is that those disposable cameras take mostly unusable pictures, are unpredictable as to where you can buy them, cost a lot between taking (and yes.. developing) and oh yeah, two trips to &#34;develop pictures. How did we do it? .<br /><br />If you are someone that likes to chronicle life, thus needs to take the underwater and gritting pix, then go for it. But keep your land camera.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Stella Silva,1,Buyer Beware!!!!,2014-06-03,Y,"My husband and I bought this camera for a special trip to Punta Cana.  We were so excited to take underwater shots.  However, after only one use in only about 5 ft of water, the screen went black and doesn't work.  The real kicker is that we bought in March, packed into our suitcase after inspecting and reading the book, took out only while vacationing last week.  Guess what...time is up to return it!!!<br />Feel so ripped off!!!!!  I've purchased a $5 disposable camera that holds up longer and better!!!<br /><br />I would think twice before you purchase this camera.",1,1,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
SRIRAMACHANDRAN,1,NOT waterproof!,2014-05-29,Y,"I am soooo disappointed.  I used it ONCE on a kayaking trip and it is already ruined. Water got into the camera and it is not useless.  It's a few months past the return expiration date, so I now have a foggy camera that I cannot even use.  Can I return this?!?!",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,5
Monisha,5,Awesome camera!,2014-05-29,Y,"The Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video is really amazing!  This camera is for the outdoors person that goes hiking, rafting, skiing, etc.  My dad had me order this camera for him.  It takes amazing photos and video that you can't wait to share with friends and family.  It's been dropped in snow and gotten really wet while rafting and it keeps on ticking.  I suggest you buy this orange color if you're like my dad who loses stuff easily.  The orange color is easy to spot in the snow if you lose it like he has.  I highly recommend this camera.",3,2,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,2
Amazon Customer,1,thee worse camera ever!,2014-05-28,Y,buttons don't work. Lens fog up inside. Don't bye it waste of money. Should have study more about this before i bought it!,1,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
srinewas,4,The AW100 is the 2011 model--even the AW110 is selling for less!,2014-05-26,N,"Just an FYI--I noticed this model is being sold for more than a newer model--on Amazon too!  There's no reason to buy this older model, except at a deep discount. I got the AW110, as a Nikon refurb, for nearly $100 less! The current Nikon model is the AW120 (it has a faster f2.8 lens). Hope this helps someone. :)",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
Amit,5,I love my new Nikon  Coolpix Waterproof,2014-05-26,Y,"I love this canmera because the quality it's so good, I like the color too, and the pictures under the water are so good, and I buy it for a good price.",1,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Loin king,5,I love it,2014-05-23,Y,Excellent product. Very very good quality. a very good option for parents with small childrens. The image quality is excellent,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,4
Praveen S,4,Good quality,2014-05-20,Y,"We used it during our vacation for underwater purposes mainly, had no issues with leakage, and the quality of the pictures and movies is quite good.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
Lova Raju,5,Excellent Camera,2014-05-17,Y,Works great underwater. Purchased for a Caribbean trip and was able to shoot some really great clips. The GPS feature is great as well helping to keep track of where the shots were taken.,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
VINOD.T,5,Great Pictures,2014-05-16,Y,We love this camera.<br />They Grandkids love that they can take it in the pool.<br />We have gotten some great underwater pic's of them and friends,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
Amazon Customer,5,Love this camera,2014-05-09,Y,"I have had this camera for about a year. The only complaint is that the images can be a bit overexposed, but that is probably user error. I have had it under water, it has slid down rocks, stuffed in packs and pockets and has never complained. It takes great macro shots, I love close up shots of flora. The fit and finish is good, a few scuff marks, but that just means that there has been adventure along the way. The battery life is also good, I would suggest a back up, I have a charger that I use to recharge the lithium battery. I don't have to worry about being caught in the rain and getting it wet. I would recommend this to anyone who, like me, just likes to snap pictures along the trail.",1,1,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,2
ANKESH RAO,1,Not water proof and not what you'd expect from Nikon.,2014-05-06,N,"I got this camera couple of years ago, was fairly happy, took okay snap shots and was pretty rugged.  First year in the Caribbean it took fair picture in the water and some descent video.  Went to Aruba last week took it snorkeling and it flooded, needless to say I am very disappointed.  If you choose to buy this camera, I wouldn't recommend you put it in the water.",2,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,4
titus karthik,1,AWFUL for low light/indoor pictures,2014-05-03,N,The camera takes great pictures in outdoor/high light environments and underwater photos. In low light environments it's AWFUL- I've tried multiple settings and the pictures either come out blurry or with the orange tint to them.,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,4
D.pathak,2,"Poor pictures, reutrned defective first one & doesn't float",2014-04-29,Y,It takes OK pictures if you have perfect lighting.  We miss a lot of shots because it does not auto focus quickly.  And it takes awful evening shots..no matter what setting I have it on.<br /><br />Our first one we had to return because it leaked when it was used underwater..it stopped working.<br /> 2nd camera we got took decent underwater pictures..comparable to a disposable 35mm camera..however it was nice to not have to worry about wasting the film.<br /><br />IT DOES NOT FLOAT!!!!!!!!!!  So plan on tethering it to your wrist or purchasing an some device to keep it from sinking straight down<br /><br />BTW...AMAZON rocks with their return/exchange policy!!!!<br /><br />This is the accessory kit I purchased with the floating wrist band.. http://www.amazon.com/gp/product/B007H9Y78I/ref=cm_cr_ryp_prd_ttl_sol_71,1,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,2
Sonia,1,Died,2014-04-22,Y,"I only had the oportunity to use it 3 times, 2 in pools and 1 in beach and the camera died.<br />The seals are not well designed since as well as you closed it, water ingress into the camera.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
ambuj,1,No good,2014-04-21,Y,I thought for being a Nikon it would be a great camera. But everytime I would use it under water the lens fogs up and I cant take video or pictures again until  it clears. I had a warranty and turned it in thinking the camera had a problem. Apparently its normal for the lens to fog up underwater.,1,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,2
Rayub,1,Do not buy,2014-04-15,Y,Camera screen went black on about the third time in the water. I can now see why.  Leakage around the battery/digital card compartment. I was very careful with it.  Now it is just $240 worth of tin and plastic.,1,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,5
Pallabi Ghosh,5,Great camera,2014-04-11,Y,"This is a great &#34;life-proof&#34; camera. Have used it in the pool, lake and ocean. dropped it banged it up. does not dent or scratch easily. Takes outstanding pictures. Very easy interface and simplistic menus. If you are looking for a camera that has &#34;beauty fix&#34; and other add ins to make your pictures pretty, this is not your camera. If you are looking for a no shit camera that can take some punishment and provide beautiful pictures, this is it.",1,1,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,5
Gowthami,5,Nikon Coolpix AW100,2014-04-09,N,"The Nikon Coolpix AW100 is a great little camera for anyone who likes to snorkel.  It's easy to use and took good underwater pictures.  Further, it took acceptable pictures on land as well.  I had no issues with the functionality of the camera.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Amazon Customer,5,Backpacker's dream,2014-04-04,Y,"I used to hump my favorite camera from another company, full size digital and that was a bear, not to mention I was always scared it was going over the mountain or into the stream. This baby takes EXCELLENT quality photos, is lite and much more portable. The GPS feature is particularly awesome when overlaying maps, I always write down compass direction to really orient people when showing off the photos. I don't worry when it rains, and the strap stays around my neck when in precarious positions, so no dropping worries.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,5
Sujit Kumar Datta,5,Would Recommend Again & Again,2014-04-01,Y,I was so impressed with this camera.  I bought it for the underwater aspect but have begun using it for all my picture taking.  Pictures and video are great quality and color.  Camera holds a charge for a long time.  Buttons could be a little bigger but they're workable.  I've recommended this camera to so many friends and I'll continue to do so.  I love it!,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,2
Mohammed khasim,1,No Lens Cap,2014-03-31,N,1 STAR for 1 REASON:<br />NO LENS CAP.<br />I called Nikon.  No help.  Personally for a waterproof camera I would think a lens cap is standard for protection.  If your lens is scratched the entire camera is useless.<br /><br />Also the camera has a huge and bulky battery charger.  So much for rustic adventure.  Any camera this size that can't be charged directly is a waste of resources.,1,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Mohan Lakshmi,2,Not happy with the product,2014-03-29,Y,"Nikon said it was a point and shoot,but it was a point and wait,i do lots of pictures in Alaska and i dont seem to be able to get the action shots that i would want with it,in other words animals usally do not wait around 5 to 10 seconds while the camera is trying to trake its picture9it was to dam slow)The person i bought it from was honest but Nikon miss represented it,so i returned it",1,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,5
Ambika,5,Can't be without it,2014-03-29,Y,"I misplaced this camera recently for about a week and it seems like everyday is was exasperated to not be able to get the shot I could have gotten with it but couldn't get with either my DSLR, Nikon 700, or with my very good and handy compact Canon S95. I bought this camera mainly to use when I didn't dare take one of the other cameras out in so much water. It is even nice not to have to be concerned about the rain, or the wet updraft from a waterfall, let alone at the beach, the river, the ocean, kayaking, rock terrain, sand, dusty riding or hiking. Yes the lens stays behind it protective glass that is itself quite will protected by the frame protruding just adequately beyond it. The other main attraction was the dropability. I was impressed by the shock-resistant aspect. I brag that I can drop it about the distance of my height onto any surface. But I can't get myself to intentionally do that. Still. I feel confident of its durability. I am also glad to have the GPS onboard. When I was considering ordering it, I was concerned about whether the resolution would be satisfactory, so, I chose to buy a refurbished one. The warrantee sounded good enough to take a chance. If I had known how much I was going to be using it and enjoying it, I would have bought the brand new one instead. But, I am very pleased with this refurbished one. No problem! One of the reasons that I can hardly stand to not have it at hand at all times is because it is so easy to take a really close shot. I am a beekeeper and I have been trying to get close-ups of the bees with the other two cameras and haven't been able to do with them what I can do with this one. The resolution isn't as good as I would like to be able to get eventually, but it is much better than anything that I have gotten at the beehive previously and the images that I send to the newspaper look good in print. This is the third water camera that I have gotten, and by far the best so far. I am very glad to have this at hand. Oh, and by the way, almost every time I open and close the water-tight door to the battery and SD card, I realize how much I appreciate the technology of that door and its latch and remember that comment about one of the reviews that criticized the latch as overly complicated and difficult to use. I get a really satisfied feeling from closing this particular latch that seems to have the feel of closing a submarine hatch. And opening the latch with only one hand is a skill that is pleasing to be a master of and takes little effort in accomplishing. And yes, if you guessed, I relocated the missing camera in the pocket of my beekeeping jacket. Now to get some close-ups of the kittens that are just beginning to get a little tiny bit of their eyes open. Of course, I can't get quite as close to them as I get to the honeybees that I can be almost touching with the lens and fill the frame with the bee and get fairly good focus and detail. Good enough for most uses, at a price that you wouldn't expect to be getting gallery quality, anyway. Yes, I did get the orange face. Sometimes I am really glad when it is so easy to find. In the beginning, sometimes I couldn't find it because I didn't see any orange face anywhere. That is when I learned to always set it monitor down. That side is all black. I like the looks of the black better, but the orange is handy and it is good for me to set the monitor face down to protect it from anything damaging it from above. Oh, and I really like how well it rides with me when the strap is around my neck. Excellent that it wears like a necklace, secured at with each end of the strap at a side of the camera instead of the wrist strap kind of tether. It is so easy to wear and to just lift and shoot. Easiest of any compact camera that I have ever used. It is when I am wearing it, though, that I would prefer that it had a the dignity of a black face. But, such a good image buddy, I can't complain. If you get one, I hope that you enjoy it at least as much.",1,1,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,2
Gowramma,5,Great underwater camera.,2014-03-27,N,"I received this as a gift from my now wife when we first started dating. Although my original was stolen (long story, since been replaced) I have been very happy with its performance. I am a pretty outdoorsy person and it is really great to have a tough camera that you can just toss in your bag or slip in a back pocket and not have to worry about it. It holds up well, I have dropped it once or twice, usually due to excessive showing off.. Along the lines of &#34;check out my sweet camera&#34; followed by a toss to a rather un-expecting person who attempts to &#34;think-fast&#34; generally involving some sort of water hazard for extra shock when they botch the catch. It takes good quality pictures and really like the GPS geo-tagging abilities. Underwater pics turn out really well as long as the water is fairly clear, I even dropped it down and ice fishing hole and caught some fish in video mode. I don't really scuba dive, but have wore it around my neck for a full day of snorkeling going up to 15ft deep and never had an issue with it. I am more than satisfied with it as a whole, the only down side I think is the zoom capabilities but I was well aware of that before entering it into my wish list. Generally speaking whenever I find a good shot where I would like a powerful zoom I'm in a place where I would not have lugged a camera any larger or less durable than this with to begin with. So its nice to at least be able to take a picture home with me, even if the lens is smeared with mud. Plus if I ever want to go capture that perfect picture in the future I will have the exact GPS location, even the direction I was facing when i took the picture originally. All thanks to my Bad-A** water/drop proof, full HD, pocket sized, powerhouse of a camera.",2,2,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
Sarang,5,amazing,2014-03-25,Y,"just a great camera. waterproof and handles very well in the cold. I have not dropped it to test the shockprove up it seems rugged enough for what it is rated. takes very fast pictures! turn it on, and once the image is in focus you snap and take the pic, very responsive.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
pranet,5,Love this camera,2014-03-16,Y,This is my second water proof camera.  My first one wasn't very waterproof.  But this Nikon is doing a great job.  Great pics and great videos too.  I ride a motorcycle and often (more than I care for) get caught in the rain.  I don't scurry to put away the camera.  It's still working like a champ.  I also took it to he beach and went swimming with it... all good.  Just be sure to follow the instructions. If it gets dirty or in salt water rinse it off thoroughly and THEN dry it completely before you open it (I let is sit for a few hours after getting wet before I open it.).  Be sure the gasket around the battery compartment is clean.  If it's not clean and smooth water will get in.. then you can just throw the camera away.,1,1,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,2
Amazon Customer,4,Only had for a few months,2014-03-14,Y,"I bought this item online, pretty satisfied, although it doesn't do well when subject is in motion.  Haven't had the chance to try underwater.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
anil kumar,5,Great under water Footage in Hawaii,2014-03-12,Y,"Took this Camera with me to Kauai for 3 weeks used it under water at Shark Cove and Na Pali Coast. It held up great in the salt Water, still works fine till this day. Purchased this camera because i wanted to  get some under water  shots, and was great. I'v droped it 3 or 4 times on accident while recording and didnt phase it, just kept on recording. I also purchased some extra Batteries because i knew i was going to use it everyday. Batteries held their charge for half the day, then just popped in the back-up when the first died. I recommend it to anyone who wants a good camera.<br /><br />Care to Check out some footage- [...]<br />Underwater footage Nikon AW100<br />Channel has more videos- [...]Youtube User Name- (Iezedumreb)<br /><br />Pros/<br />-DURABLE<br />-WATER PROOF<br />-HD QUALITY FOOTAGE<br />-NIGHT TIME LIGHT<br /><br />Cons/<br />-Movie light could be brighter",2,2,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
Amazon Customer,5,Cool pix underwater,2014-03-10,Y,Love this camera especially the underwater shots. It is easy to use and very compact. It makes a nice gift.,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,5
JAIkumar Nadagoud,4,great,2014-03-09,Y,"Great camera, the only thing about it that I don't like is there is no lens cover. If it had one I would give it 5 stars all the way.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Shaun mascarenhas,5,"Water proof, freeze proof, shockproof but not scratch proof",2014-03-03,Y,"I bought this camera about 2 years ago, I loved it and still love it, I take it to every vacation trip I do that I know there will be water involved. I have scuba dived with it 35 to 40 ft and works perfectly. I accidentally dropped it from 2 feet into rocks. It just scratched a little bit the metal paint but, it still works really well and battery will last a full day of use.",1,1,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,4
Isha,5,Absolutely Love this Bad Boy!,2014-03-03,Y,This camera is sick and indestructible! It a bad ass camera for sure! I use it all the time and have so many great memories captured through it!!,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,4
Angel,5,This camera is great for most purposes,2014-02-28,Y,"I have been using this camera for almost a year and it has performed very well. I used it in sub-zero temperatures, in chlorinated and sea water, and for everyday use. I also dropped it rather hard when I got it. There is a small dent on the camera, but no change in performance. Underwater pictures looked great, the only problem I had was making sure the lens was dry if I came out the water. It often was, but some pictures show water droplets. It works well with a camera float too. There doesn't seem to be a way to turn off the tap feature completely. Bluetooth might make this product better so I wouldn't have to open the seal as often. Very happy with this purchase.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
BABULAL N PASI,5,Good Camera,2014-02-26,Y,It took good underwater pics on my last vacation as well as regular pics and videos. I am very happy with it.,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,5
nivedita barik barua,1,LEAKS...first time in water.,2014-02-25,N,"I bought this camera and it takes GREAT pictures, but don't believe it is waterproof (to ANY depth).  It is out of warranty so I have no recourse but to warn others.  We went to Cancun recently and I took it into the pool and it was never more than 2 feet in depth...yet, shortly after getting out, I saw evidence of water intrusion.  The first evidence was the condensation in the lense...I tracked down some rice and put it in the rice to hopefully forestall any further damage, but after 5 days in the rice, I removed it and it won't even turn on.  So, if you expect to get great pics out of the water, it does that well, but I would never take it into the water...you will have no way of knowing if it is waterproof until it is too late.  Shame Nikon.  Last Nikon I buy.",1,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,5
Arup Kumar Kar,2,Used for about six months before it fogged,2014-02-24,Y,"I used this camera hiking and on the beach for about six months before it got condensation inside.  This caused the lens to ALWAYS fog up and the pictures were useless.  On the other hand, Nikon replaced it with the AW110 which has not had this issue yet.<br /><br />Pros:<br />- The GPS works well and embeds the coordinates and location info right into the picture<br />- Pictures are pretty good both in and out of the water",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,3
Sreeja b c,2,REAAAALLLLLLYYYYYY slow focus!!!,2014-02-20,Y,"I guess the title pretty much summarizes my experience with it. I bought it so i could take photos with my family as we went outdoors without having to worry about the weather, but i never got to test the all-weather capabilities. It was really slow focussing, even in bright daylight and all i got was blurry photos of my daughter. i tried every setting and every mode on the camera and same result, so i just returned it.<br /><br />I thought the orange color was really cool and the overall layout of controls and buttons was good, but what's the point if it can't take the photos you want?!",1,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Amazon Customer,5,Great Gift,2014-02-20,Y,"My husband and I bought this camera as a gift for our son who was serving in Kuwait.  He wanted a camera that could withstand harsh conditions, including sand storms.  This camera has fit the bill.  My husband and I even took it to Hawaii to use while snorkeling since it is waterproof.  We had no problems with the camera and it took great underwater pictures.  I did get the warranty because of some of the reviews, but have never had to use it.",1,1,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Samuel R.,3,A bit difficult for me to use,2014-02-19,Y,"This takes good pictures and works underwater.  Where I had problems was with the control for making movies.  It seems that just about every time I use this camera, I end up hitting the button to make movies by mistake.  I end up with lots of unwanted, unexpected movies and run down batteries.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Amazon Customer,5,great camera,2014-02-15,Y,very good camera so far.<br />Its easy to use and seems pretty durable.<br />Takes great pictures and videos.<br />The battery seems to last a decent amount of time too.,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,5
CHHOTU Kumar,1,Lasted 1month,2014-02-06,N,"Used hiking on rugged trail for 10 days, then took to Hawaii the next month in 2/2013. Viewfinder cut out when snorkeling which was odd because the lights were still on. After multiple battery changes, I realized that it wasn't a dead battery but the viewfinder failed. It still works, but useless without the screen. Nikon nor BB would honor refund and hundreds of posts about the same topic in the forums.  Considering that I was so diligent and focused on NOT getting a leak and ensuring clean seal, it is a clear manufacturing defect that it failed. So much for warranty.<br /><br />Not surprising that they no longer sell it. Total P O S life despite an otherwise great camera. Awaiting 2/11/14 release of AW120 to see if it's any better. Very happy with GPS tagging and would intermittently turn on shooting picks on the trail to conserve battery.",1,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Md Zoaib Alam,1,"Not Waterproof,  but American Express to the Rescue!!!",2014-02-05,Y,"I purchased my Coolpix AW100 in June 2012.  I used it for snorkeling in January 2013 in Cancun with no problems. I used it again in January 2014 for snorkeling and the camera died.  When I returned to my hotel room, I opened it up and found water droplets inside.  I have been a Nikon camera person for many years but I would never ever get another one of their \\""waterproof\\"" cameras based on my experience and the experience of many others who have written similar reviews.  Snorkeling was on the surface of the water and yes, I checked the seal to be sure it was clean before I left the hotel room.  As this was salt water, I am assuming my camera can not be repaired and will consider it a loss.  Prior to the death of my camera, I was pleased with its performance.<br /><br />But wait - I purchased the camera with my American Express Card. American Express extends the warranty on most products by one year. I contacted American Express and they credited my AMEX account for the cost of the purchase. Yes - the annual fee on the card may be expensive but for times like this, it is worth it! Thank you American Express.",3,1,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Benjamin,5,Fantastic little camera!,2014-02-04,Y,"I took this camera on a great white shark, cage diving trip and you would not believe the awesome pictures I got. Just remember to change the settings (for the elements) and you will get great pics. So compact and easy to use. I would definitely purchase another one, if something happened to mine.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,2
GURU DYAL,5,Ideal Point & Shoot,2014-01-29,Y,"I like to be able to take a camera to the beach for snorkeling.  Had a Nikon S7c and was able to get a waterproof case to go with it.  But it made the contraption bulky and somewhat hard to use.  The AW100 is more compact, easier to use and waterproof, cold proof, drop resistant, etc..  There are other cameras that have those features.  But the clincher for me was the filter adaptor accessory.  This accessory made it possible for me to add a polarizer to this compact point and shoot to handle glare and higher contrast situations.  Wish I had had this arrangement when I was backpacking in the Rockies.",1,1,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,5
Sujithra D.,1,Lasted less than 1 year.,2014-01-25,Y,I have only used this camera 8 times previously and on our last snorkeling trip the monitor/screen stopped working. I spent $299 and feel the product has not lived up to the expected quality for that price. It's less than 2 years old and is no longer functional.,0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
Durgeshwaren,1,Stopped working after 1 day-battery will not charge ;(,2014-01-24,Y,"We purchased this camera for a vacation, knowing we would want to take pictures while snorkeling. We were not able to recharge the battery so it is now useless.",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,1
SWAMY,5,Bet point and shoot I ever had,2014-01-21,Y,"I'm usually a canon fan, but for some reason I love this camera way more and have used it in the water hundreds of time and it works great!",0,0,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,2
